country,latitude,longitude,name
CA,56.130366,-106.346771,Canada
US,37.09024,-95.712891,"United States"
AF,33.93911,67.709953,Afghanistan
BR,-14.235004,-51.92528,Brazil
CN,35.86166,104.195397,China
DE,51.165691,10.451526,Germany
FR,46.227638,2.213749,France
GB,55.378051,-3.435973,"United Kingdom"
IN,20.593684,78.96288,India
KR,35.907757,127.766922,"South Korea"
MX,23.634501,-102.552784,Mexico
MY,4.210484,101.975766,Malaysia
MZ,-18.665695,35.529562,Mozambique
RU,61.52401,105.318756,Russia
SL,8.460555,-11.779889,"Sierra Leone"
SM,43.94236,12.457777,"San Marino"
SO,5.152149,46.199616,Somalia
SY,34.802075,38.996815,Syria
TD,15.454166,18.732207,Chad
VN,14.058324,108.277199,Vietnam
